"EVENTO","AREA/ZONA","CENTRO DE COSTO","ITEM","DESCRIPCION","NOTAS/OBSERVACIONES","IN-KIND?","AURORA 360?","QTY","UoM","CONTRATACION POR DIAS?","QTY DIAS","PRECIO UNITARIO","SUBTOTAL","VIA PRODUCTORA (AURORA 360)?","FEE INCL. EN COTIZACION?","FEE 20%","SUBTOTAL CON FEE","IVA","TOTAL","COTIZACION","IMAGEN DE REFERENCIA","PROVEEDOR","VALIDAR COSTO?","CONTRATAR APARTE?","COTIZACION LINK","EXENTO IVA?"
"BEFORE/AFTER MAIN EVENT","HOSPITALITY","AIRPORT RECEPTION ASSITANCE","SERVICIO SALA VIP @ SAL","""Recpcion de viajeros por personal especializado quienes:
1) Le reciben en la puerta de salida, luego es trasladado a nuestra sala VIP
2) Realizan sus trámites migratorios mientras permanece comodamente en sala VIP (No incluye el pago de Tarjeta Migratoria de Ingreso para extranjeros, US$ 12.00 según aplique.)
3) Recoge el equipaje del pasajero y realiza tramites de Aduana (No está incluido el uso de carretilla para movilizar el equipaje, valor US$ 3.00 por carretilla)
4) Una vez sellado el pasaporte y con el equipaje, se entrega al pasajero
Sale por la puerta de entrada principal (egreso VIP) del aeropuerto con acceso prioritario a parqueo de acceso a nuestro proveedor de transporte. ""","","SI","NO","30","SERVICIOS","NO","1","35","1050","NO","NO","0","1050","136.5","1186.5","SERVICIO VIP CEPA","","CEPA","NO","NO","https://www.cepa.gob.sv/servicios/servicio-vip-pasajeros-del-aies/","NO"
"BEFORE/AFTER MAIN EVENT","MOBILITY","TERRESTRIAL TRANSPORTATION","ARRIVALS / TRASLADO DE LLEGADAS","TRASLADOS AEROPUERTO > HYATT.","","NO","NO","1","SERVICIO","NO","1","325","325","NO","NO","0","325","42.25","367.25","31-03-2026 CAMILA CRUZ (Por confirmar) MICROBUS HIACE 2 MODIF.pdf","","LINEA EJECUTIVA","NO","NO","https://drive.google.com/file/d/1f1aUDcRld-mcPW62HfdTf4DaxocB7VK3/view?usp=sharing","NO"
"BEFORE/AFTER MAIN EVENT","HOSPITALITY","ACCOMODATIONS","BLOQUE DE 30 HABITACIONES PARA LA ATENCION Y HOSPEDAJE DE PONENTES INTERNACIONALES Y STAFF ORGANIZADOR","","","SI","NO","1","PAQUETE","NO","1","18270","18270","NO","NO","0","18270","2375.1","20645.1","Cotización Final HC SS","","HYATT CENTRIC SAN SALVADOR","SI","NO","https://drive.google.com/file/d/1qsEnIyFrGV65PT9rjBFQmNThFxJyGNuH/view?usp=sharing","NO"
"BEFORE/AFTER MAIN EVENT","HOSPITALITY","AMENITIES","WELCOME KITS (SPEAKERS + ORGANIZERS) 30","","","NO","NO","30","PAQUETE","NO","1","35","1050","NO","NO","0","1050","136.5","1186.5","BUDGETED + QUOTES PER ITEMS","","THE RACK + CARO PA'S COFFEE","NO","NO","","NO"
"BEFORE/AFTER MAIN EVENT","HOSPITALITY","AMENITIES","IN ROOM WELCOME KIT DELIVERY SERVICE","","","NO","NO","1","SERVICIO","NO","1","2","2","NO","NO","0","2","0.26","2.26","Cotización Final HC SS","","HYATT CENTRIC SAN SALVADOR","NO","NO","https://drive.google.com/file/d/1qsEnIyFrGV65PT9rjBFQmNThFxJyGNuH/view?usp=sharing","NO"
"BEFORE/AFTER MAIN EVENT","MOBILITY","TERRESTRIAL TRANSPORTATION","IN-CITY TRIPS / TRASLADO EN SS","TODOS LOS TRASLADOS DE HOTEL, ESEN, MONARCA DURANTE SU ESTADIA EN SS.","","NO","NO","1","SERVICIO","NO","1","1305","1305","NO","NO","0","1305","169.65","1474.65","31-03-2026 CAMILA CRUZ (Por confirmar) MICROBUS HIACE 2 MODIF.pdf","","LINEA EJECUTIVA","NO","NO","Xhttps://drive.google.com/file/d/1f1aUDcRld-mcPW62HfdTf4DaxocB7VK3/view?usp=sharing","NO"
"MAIN EVENT","MOBILITY","TERRESTRIAL TRANSPORTATION","UBER BUDGET (EVENT CODE DISCOUNT SUBSIDY)","PARA ASEGURAR UNA BUENA EXPERIENCIA, EN VISTA DEL PARQUEO LIMITADO  RELATIVO AL AFORO, SE CONTEMPLARA BRINDAR CODIGOS DE DESCUENTO EN RIDES, UN MONTO A UTILIZAR PARA MINIMIZAR VOLUMEN DE CARROS. SE CONTEMPLA UN DROP-OFF ZONE EN ZONA ""VALET"" ESEN.","","NO","NO","250","PAQUETE","NO","1","10","2500","NO","NO","0","2500","325","2825","BUDGETED","","","NO","NO","","NO"
"BEFORE/AFTER MAIN EVENT","MOBILITY","TERRESTRIAL TRANSPORTATION","DEPARTURES / TRASLADO DE PARTIDAS","TRASLADOS HYATT > AEROPUERTO.","","NO","NO","1","SERVICIO","NO","1","325","325","NO","NO","0","325","42.25","367.25","31-03-2026 CAMILA CRUZ (Por confirmar) MICROBUS HIACE 2 MODIF.pdf","","LINEA EJECUTIVA","NO","NO","https://drive.google.com/file/d/1f1aUDcRld-mcPW62HfdTf4DaxocB7VK3/view?usp=sharing","NO"
"BEFORE/AFTER MAIN EVENT","ORGANIZERS","STAFF","EQUIPO C2 LABS (BILLABLE TIME)","","","NO","NO","","","","","0","0","NO","","0","0","0","0","TBD","","","NO","NO","","NO"
"BEFORE/AFTER MAIN EVENT","ORGANIZERS","STAFF","EQUIPO OPINNO (BILLABLE TIME)","","","NO","NO","","","","","0","0","NO","","0","0","0","0","TBD","","","NO","NO","","NO"
